episode,podcast,rec_1_episode,rec_1_isCorrect,rec_1_podcast,rec_2_episode,rec_2_isCorrect,rec_2_podcast,rec_3_episode,rec_3_isCorrect,rec_3_podcast,rec_4_episode,rec_4_isCorrect,rec_4_podcast,rec_5_episode,rec_5_isCorrect,rec_5_podcast
Answers,Limetown,"#884: The Rest Of The Story, Winter 2018",False,planet-money,479- Little War on the Prairie,True,this-american-life,554- Not It!,True,this-american-life,6 Decades Of Research Examines Prisoners Of War,False,hidden-brain,A Brief History of Tariffs ,False,the-indicator-from-planet-money
Limetown 911 Call Transcript,Limetown,"Weekly Roundup: Thursday, June 1",False,npr-politics-podcast,495- Hot In My Backyard,True,this-american-life,#871: Blacklisted In China,False,planet-money,72- Trek,False,this-american-life,Chapter 2 Transcript,True,S-Town
Limetown Central Question,Limetown,,,,,,,,,,,,,,,
Limetown Ep 1 Transcript,Limetown,The Cheater's High And Other Reasons We Cheat,False,hidden-brain,EPISODE 24,True,Mable,319- And the Call Was Coming from the Basement,True,this-american-life,273- Put Your Heart In It,True,this-american-life,Who Gets Power 2014 And Why It Can Corrupt Even The Best Of Us,True,hidden-brain
Limetown Ep 2 Transcript,Limetown,#871: Blacklisted In China,False,planet-money,Chapter 2 Transcript,True,S-Town,Stroke of Genius: How Derek Amato Became a Musical Savant  ,False,hidden-brain,"Weekly Roundup: Thursday, June 1",False,npr-politics-podcast,495- Hot In My Backyard,False,this-american-life
Limetown Ep 3 Transcript,Limetown,The Ins & Outs Of The Minimum Wage,False,the-indicator-from-planet-money,Why Men Outnumber Women Attending Business Schools,False,hidden-brain,CEO's Voice Tone Can Speak Volumes,False,hidden-brain,Duck Duck Poop - A Tale Of Symbiosis,False,wow-in-the-world,China's Social Credit System,True,the-indicator-from-planet-money
Limetown Ep 4 Transcript,Limetown,367- Ground Game,False,this-american-life,Do Orchestras Really Need Conductors? ,False,hidden-brain,#886: The Price of a Hack,False,planet-money,"Matchmakers Are Happier Than Non-Matchmakers, Research Shows",False,hidden-brain,Social Science Research Examines The Generosity Of The Wealthy,False,hidden-brain
Limetown Ep 5 Transcript,Limetown,EPISODE 29,True,Mable,Episode 3,False,Mogul The Life and Death of Chris Lighty,418- Toxie,False,this-american-life,620- To Be Real,False,this-american-life,EPISODE 27,True,Mable
Limetown Intermission,Limetown,248- Like It or Not,False,this-american-life,237- Regime Change,False,this-american-life,Spoiler Alert! The Psychology Of Surprise Endings ,False,hidden-brain,26- Father's Day '96,False,this-american-life,The Carpenter Vs. The Gardener: Two Models Of Modern Parenting,False,hidden-brain
EPISODE 1,Mable,Crickets And Cannibals: Unpacking The Complicated Emotion Of Disgust,False,hidden-brain,"Weekly Roundup: Thursday, January 4",False,npr-politics-podcast,"Weekly Roundup: Thursday, August 30",False,npr-politics-podcast,"Weekly Roundup: Thursday, November 17",False,npr-politics-podcast,257- What I Should’ve Said,False,this-american-life
EPISODE 10,Mable,"Weekly Roundup: Thursday, June 14",False,npr-politics-podcast,121- Twentieth Century Man,True,this-american-life,"Weekly Roundup: Thursday, August 17",False,npr-politics-podcast,86- How to Take Money from Strangers,False,this-american-life,"Weekly Roundup: Thursday, June 22",False,npr-politics-podcast
EPISODE 11,Mable,612- Ask a Grown-Up,False,this-american-life,634- Human Error in Volatile Situations,True,this-american-life,"603- Once More, With Feeling",False,this-american-life,617- Fermi’s Paradox,False,this-american-life,601- Master of Her Domain… Name,False,this-american-life
EPISODE 12,Mable,,,,,,,,,,,,,,,
EPISODE 13,Mable,248- Like It or Not,True,this-american-life,237- Regime Change,False,this-american-life,Spoiler Alert! The Psychology Of Surprise Endings ,False,hidden-brain,26- Father's Day '96,False,this-american-life,The Carpenter Vs. The Gardener: Two Models Of Modern Parenting,False,hidden-brain
EPISODE 14,Mable,140- Family Business,True,this-american-life,"Weekly Roundup: Thursday, December 21",False,npr-politics-podcast,"Weekly Roundup: Thursday, September 15",False,npr-politics-podcast,#872: The Halloween Tapes,False,planet-money,"Weekly Roundup: Thursday, May 24",False,npr-politics-podcast
EPISODE 15,Mable,,,,,,,,,,,,,,,
EPISODE 16,Mable,,,,,,,,,,,,,,,
EPISODE 17,Mable,,,,,,,,,,,,,,,
EPISODE 18,Mable,"Weekly Roundup: Thursday, October 12",False,npr-politics-podcast,334- Duty Calls,False,this-american-life,"Weekly Roundup: Thursday, July 27 ",False,npr-politics-podcast,"Weekly Roundup: Thursday, March 1",False,npr-politics-podcast,"Weekly Roundup: Thursday, May 31",False,npr-politics-podcast
EPISODE 19,Mable,,,,,,,,,,,,,,,
EPISODE 2,Mable,,,,,,,,,,,,,,,
EPISODE 20,Mable,248- Like It or Not,False,this-american-life,237- Regime Change,False,this-american-life,Spoiler Alert! The Psychology Of Surprise Endings ,False,hidden-brain,26- Father's Day '96,False,this-american-life,The Carpenter Vs. The Gardener: Two Models Of Modern Parenting,False,hidden-brain
EPISODE 21,Mable,248- Like It or Not,False,this-american-life,237- Regime Change,False,this-american-life,Spoiler Alert! The Psychology Of Surprise Endings ,False,hidden-brain,26- Father's Day '96,False,this-american-life,The Carpenter Vs. The Gardener: Two Models Of Modern Parenting,False,hidden-brain
EPISODE 22,Mable,120- Be Careful Who You Pretend to Be,True,this-american-life,404- Enemy Camp 2010,False,this-american-life,499- Taking Names,False,this-american-life,157- Secret Life of Daytime,False,this-american-life,391- More Is Less,False,this-american-life
EPISODE 23,Mable,248- Like It or Not,False,this-american-life,237- Regime Change,False,this-american-life,Spoiler Alert! The Psychology Of Surprise Endings ,False,hidden-brain,26- Father's Day '96,False,this-american-life,The Carpenter Vs. The Gardener: Two Models Of Modern Parenting,False,hidden-brain
EPISODE 24,Mable,EPISODE 35,True,Mable,EPISODE 36,True,Mable,Coal Stories 5,False,embedded,"More Debt, Less Problems",False,the-indicator-from-planet-money,#881: The Prisoners of the Trade War,False,planet-money
